Transaction_Text,Label
Restaurant bill via Paytm | Ref:36b7f4a0 | Amount: INR 59733.47,Food
UPI collect request from hotel kitchen | Ref:a9bdff3b | Amount: INR 17791.32,Food
Tiffin service monthly debit | Ref:b3dbde08 | Amount: INR 36323.5,Food
Catering advance for function | Ref:43d2fadf | Amount: INR 37622.32,Food
Sweet shop festival order | Ref:de7e2bcf | Amount: INR 44974.77,Food
Ice cream parlour card tap | Ref:c1b1a6a4 | Amount: INR 32093.7,Food
Bakery bread and cake order | Ref:b7dfc83b | Amount: INR 21780.4,Food
Cloud kitchen aggregator payout | Ref:f7b9b83a | Amount: INR 64740.05,Food
Street food vendor UPI | Ref:25c7c93d | Amount: INR 23169.74,Food
College canteen wallet top-up | Ref:fc26a80f | Amount: INR 66439.62,Food
Office cafeteria meal pass | Ref:7eedceec | Amount: INR 20771.26,Food
Airport lounge food charge | Ref:77ef0c57 | Amount: INR 63512.8,Food
Railway station food plaza | Ref:9bad7042 | Amount: INR 83929.17,Food
Highway toll plaza food court | Ref:504a6d1f | Amount: INR 53143.01,Food
Movie multiplex popcorn combo | Ref:0274ad36 | Amount: INR 55963.0,Food
Stadium snack counter debit | Ref:fec2594a | Amount: INR 97368.72,Food
Hospital canteen recharge | Ref:fee77d5d | Amount: INR 82656.96,Food
Temple prasad counter donation food | Ref:0a0b5a46 | Amount: INR 82980.27,Food
Wedding hall catering advance | Ref:84191fef | Amount: INR 75464.08,Food
Corporate lunch Sodexo meal | Ref:6a1bb767 | Amount: INR 17942.6,Food
Zomato Gold membership food benefit | Ref:fc35edb8 | Amount: INR 10584.11,Food
Swiggy One membership fee | Ref:d4a4bbbb | Amount: INR 26749.78,Food
Uber Eats order (legacy) | Ref:dacc7f8d | Amount: INR 53156.04,Food
Food aggregator cashback reversal | Ref:3cfa2be1 | Amount: INR 65704.4,Food
Grocery cashback wallet debit | Ref:0be35b7a | Amount: INR 18474.96,Food
Milk subscription daily debit | Ref:143eac04 | Amount: INR 35945.74,Food
Vegetable mandi UPI payment | Ref:baa37f00 | Amount: INR 9432.26,Food
Fish market vendor collect | Ref:cfb5a34b | Amount: INR 41719.02,Food
Egg tray wholesale debit | Ref:9c34f43f | Amount: INR 41633.71,Food
Atta chakki grinding charges | Ref:9cffd9ed | Amount: INR 9147.7,Food
Juice bar detox cleanse | Ref:da21fd33 | Amount: INR 63191.94,Food
Salad subscription weekly | Ref:4ef0feeb | Amount: INR 28366.53,Food
Protein shake brand debit | Ref:80bdca3b | Amount: INR 55178.05,Food
Energy bar vending machine | Ref:faddee75 | Amount: INR 67218.03,Food
Midnight snack delivery | Ref:a7cbb260 | Amount: INR 58184.71,Food
Hostel mess fee deduction | Ref:1ec8ecaa | Amount: INR 2281.05,Food
PG mess monthly food charge | Ref:d222b5fa | Amount: INR 7117.31,Food
Co-working pantry snacks | Ref:d2fdf6a7 | Amount: INR 88332.6,Food
Startup office pantry restock | Ref:f8bc9ad9 | Amount: INR 75753.32,Food
Team lunch reimbursement debit | Ref:cca0e80a | Amount: INR 13921.54,Food
Client dinner restaurant bill | Ref:5b59a0db | Amount: INR 93893.86,Food
Business lunch card charge | Ref:28413822 | Amount: INR 97510.3,Food
Airline meal pre-book debit | Ref:8045bbe1 | Amount: INR 16611.52,Food
Train pantry car order | Ref:e4cbcdc0 | Amount: INR 94556.76,Food
Bus journey snack pack | Ref:ffcbefdf | Amount: INR 64109.57,Food
Ferry canteen purchase | Ref:f12e60d0 | Amount: INR 91101.07,Food
Resort buffet breakfast charge | Ref:1fccbba1 | Amount: INR 34750.99,Food
Hotel room service dinner | Ref:ba5081e3 | Amount: INR 23424.82,Food
Minibar consumption charge | Ref:cb76e327 | Amount: INR 73691.52,Food
Cook salary advance food budget | Ref:2ecbcaff | Amount: INR 31837.1,Food
Maid grocery shopping debit | Ref:a208fa9c | Amount: INR 50521.17,Food
Festival sweets bulk order | Ref:7ade5856 | Amount: INR 66571.94,Food
Diwali mithai box purchase | Ref:ec6bf7af | Amount: INR 58155.15,Food
Holi thandai supplies | Ref:5aedbe22 | Amount: INR 60426.5,Food
Christmas cake order | Ref:685963d0 | Amount: INR 57894.8,Food
Eid biryani bulk order | Ref:2c9186aa | Amount: INR 81858.67,Food
Navratri fasting food pack | Ref:5a9663d0 | Amount: INR 21107.02,Food
Pongal sugarcane and jaggery | Ref:ffa8de32 | Amount: INR 38012.25,Food
Onam sadya catering | Ref:de8d6bff | Amount: INR 34320.27,Food
Baisakhi langar donation food | Ref:e5b0d439 | Amount: INR 57226.24,Food
Ganesh Chaturthi modak order | Ref:98a160d7 | Amount: INR 29431.99,Food
Janmashtami milk sweets | Ref:9fdbce6e | Amount: INR 94249.41,Food
Rakhi family dinner bill | Ref:bc78499d | Amount: INR 89601.33,Food
New year party catering | Ref:cbc8cd05 | Amount: INR 17318.91,Food
Birthday cake custom order | Ref:dab94012 | Amount: INR 21502.63,Food
Anniversary dinner fine dining | Ref:2ddfd97d | Amount: INR 9634.63,Food
Date night restaurant UPI | Ref:173d22cd | Amount: INR 54667.25,Food
Brunch cafe weekend debit | Ref:ad273ac2 | Amount: INR 98306.88,Food
High tea lounge charge | Ref:b9e2f9f9 | Amount: INR 6154.82,Food
Wine shop permit payment | Ref:aaf891fb | Amount: INR 41893.23,Food
Beer pub tab settlement | Ref:73cdb5bb | Amount: INR 68480.55,Food
Microbrewery tasting flight | Ref:8a9dcd7c | Amount: INR 85390.8,Food
Food blogger shoot expenses | Ref:6ad390db | Amount: INR 28663.7,Food
Recipe box subscription debit | Ref:ad4ea97b | Amount: INR 93843.96,Food
Meal kit delivery weekly | Ref:6d5ed77e | Amount: INR 62870.88,Food
Frozen momos wholesale | Ref:e89a828c | Amount: INR 42480.95,Food
Momos stall evening rush | Ref:ecc7a875 | Amount: INR 47323.18,Food
Pani puri cart UPI | Ref:7add6fb2 | Amount: INR 32669.85,Food
Chaat corner bill | Ref:56df0413 | Amount: INR 69845.4,Food
South Indian meals thali | Ref:efb2dbd6 | Amount: INR 10754.25,Food
North Indian thali combo | Ref:92fdb1ca | Amount: INR 38305.77,Food
Biryani bucket family pack | Ref:3fc0a6ec | Amount: INR 82231.55,Food
Dosa batter subscription | Ref:9e93ef38 | Amount: INR 4923.34,Food
Idli sambar breakfast combo | Ref:9cc9db6b | Amount: INR 78455.91,Food
Paratha breakfast tiffin | Ref:95ab37af | Amount: INR 3173.58,Food
Poha and jalebi breakfast | Ref:2a181f8e | Amount: INR 27317.13,Food
Misal pav outlet debit | Ref:472b2bfa | Amount: INR 34328.8,Food
Vada pav stall Mumbai | Ref:b33cf8ca | Amount: INR 18916.58,Food
Pav bhaji beach stall | Ref:aeaedd6f | Amount: INR 52688.99,Food
Kathi roll Kolkata street | Ref:f7efaee3 | Amount: INR 44812.37,Food
Momos Darjeeling style | Ref:def42fc1 | Amount: INR 31228.63,Food
Chole bhature Delhi outlet | Ref:6ffce69d | Amount: INR 64476.73,Food
Rajma chawal home delivery | Ref:e0f4d75f | Amount: INR 82588.36,Food
Dal makhani butter naan set | Ref:fbd0ccaf | Amount: INR 67998.36,Food
Tandoori chicken grill order | Ref:1ed4ecbb | Amount: INR 52979.57,Food
Fish curry coastal meal | Ref:aedb9e1d | Amount: INR 46595.9,Food
Prawn fry restaurant bill | Ref:da2ecf55 | Amount: INR 22310.41,Food
Crab masala seasonal special | Ref:4faf2ab7 | Amount: INR 38858.04,Food
Mutton biryani premium | Ref:bebf6699 | Amount: INR 43024.87,Food
Chicken tikka platter | Ref:91884bda | Amount: INR 94324.93,Food
Paneer tikka starter | Ref:56fabc71 | Amount: INR 19258.47,Food
Veg platter buffet | Ref:513f468c | Amount: INR 4342.09,Food
Jain meal special order | Ref:6fd621cb | Amount: INR 33189.33,Food
Vegan bowl salad bar | Ref:badba92f | Amount: INR 11844.51,Food
Gluten free bakery order | Ref:1d57c64d | Amount: INR 26701.8,Food
Keto meal plan subscription | Ref:eec6aabf | Amount: INR 73086.37,Food
Diabetic friendly meal kit | Ref:a2b83fd8 | Amount: INR 55074.74,Food
Baby food formula purchase | Ref:0c1df062 | Amount: INR 2189.61,Food
Senior citizen soft diet meal | Ref:10e91ada | Amount: INR 95600.08,Food
Hospital patient diet tray | Ref:0946faff | Amount: INR 9601.64,Food
Gym protein shake bar | Ref:9fcd6510 | Amount: INR 2918.15,Food
Yoga retreat meals package | Ref:be16d003 | Amount: INR 19485.59,Food
Marathon energy gel pack | Ref:9192d3de | Amount: INR 8159.02,Food
Trekking packed meals | Ref:f90fbbc9 | Amount: INR 2123.32,Food
Camping freeze dried food | Ref:7afcd4c1 | Amount: INR 86435.43,Food
Airbnb host grocery stock | Ref:4acff298 | Amount: INR 86144.46,Food
Homestay breakfast charge | Ref:2cddefee | Amount: INR 46437.52,Food
Co-living kitchen supplies | Ref:75d18fb2 | Amount: INR 49146.87,Food
PG owner mess charges | Ref:bbfbc4c2 | Amount: INR 26311.73,Food
Landlord utility food share | Ref:affe35ba | Amount: INR 40131.62,Food
Splitwise settled food dues | Ref:bb30edf0 | Amount: INR 72010.24,Food
Friends group dinner split | Ref:f2f33a23 | Amount: INR 22125.03,Food
Office team pizza party | Ref:afbfdf01 | Amount: INR 98401.93,Food
Farewell cake and snacks | Ref:2fcc022e | Amount: INR 5486.94,Food
Welcome kit snacks for new hire | Ref:25d73dd9 | Amount: INR 93163.26,Food
Conference tea coffee service | Ref:faebe80b | Amount: INR 9515.98,Food
Seminar lunch box order | Ref:c822b710 | Amount: INR 16495.86,Food
Workshop high tea catering | Ref:48acd752 | Amount: INR 29203.24,Food
Hackathon midnight pizza | Ref:8771da2a | Amount: INR 96618.71,Food
College fest food stall | Ref:14da1fda | Amount: INR 94480.46,Food
Tech meetup snacks sponsor | Ref:2ac4d178 | Amount: INR 58608.4,Food
NGO food drive supplies | Ref:c8ba7480 | Amount: INR 90453.69,Food
Blood donation camp refreshments | Ref:e373738f | Amount: INR 8397.92,Food
Marathon aid station supplies | Ref:b3ecbf6c | Amount: INR 84824.96,Food
School annual day snacks | Ref:24ba14ba | Amount: INR 89094.78,Food
PTA meeting tea biscuits | Ref:234bbe8a | Amount: INR 88614.87,Food
Sports day juice boxes | Ref:ba86063c | Amount: INR 51239.31,Food
Exam hall water bottles bulk | Ref:7e5a9c1f | Amount: INR 60540.51,Food
Library cafe latte | Ref:dda5d80c | Amount: INR 90681.4,Food
Museum cafe sandwich | Ref:a45fe768 | Amount: INR 93432.33,Food
Zoo kiosk ice cream | Ref:097544ab | Amount: INR 66338.7,Food
Aquarium cafe kids meal | Ref:3ba2de85 | Amount: INR 39424.72,Food
Theme park meal voucher | Ref:db0536bc | Amount: INR 90451.05,Food
Water park locker snack | Ref:c8e07be7 | Amount: INR 40361.75,Food
Ski resort hot chocolate | Ref:61c3edc3 | Amount: INR 17896.65,Food
Hill station maggi stall | Ref:cb9c5efa | Amount: INR 11177.61,Food
Beach shack coconut water | Ref:0cdae0ab | Amount: INR 16561.85,Food
River rafting packed lunch | Ref:0aedbf3d | Amount: INR 25811.17,Food
Wildlife safari packed meal | Ref:4a3fab65 | Amount: INR 6288.3,Food
Desert camp dinner under stars | Ref:a99b5349 | Amount: INR 46805.9,Food
Houseboat Kerala meals | Ref:9d128fca | Amount: INR 28640.07,Food
Cruise deck dining charge | Ref:9bf8273b | Amount: INR 58323.0,Food
Flight meal voucher debit | Ref:0432989c | Amount: INR 96252.37,Food
Lounge access with meal | Ref:3c44a3ca | Amount: INR 48211.9,Food
Priority pass dining credit | Ref:80f2ad33 | Amount: INR 48417.22,Food
Credit card dining offer cashback reversal | Ref:387c42f4 | Amount: INR 32216.54,Food
Debit card tap at food court | Ref:9bfd50c1 | Amount: INR 36993.15,Food
NFC payment at bakery | Ref:e60d97d6 | Amount: INR 72856.77,Food
QR scan at juice shop | Ref:e0df7dbf | Amount: INR 11088.64,Food
UPI intent at restaurant | Ref:b1b95fcc | Amount: INR 88286.79,Food
UPI collect from dhaba | Ref:bddcbe9e | Amount: INR 1634.98,Food
PhonePe merchant food | Ref:1cfcfee6 | Amount: INR 6473.98,Food
Google Pay merchant grocery | Ref:27aa5d21 | Amount: INR 65894.12,Food
Paytm QR kirana payment | Ref:7cacdcec | Amount: INR 54237.53,Food
Amazon Pay UPI food order | Ref:bca6d516 | Amount: INR 21866.2,Food
Cred pay food offer debit | Ref:d48c97f9 | Amount: INR 32238.09,Food
Slice card food cashback net | Ref:e3a5f0cf | Amount: INR 49452.58,Food
OneCard dining rewards debit | Ref:a8b79b37 | Amount: INR 52578.79,Food
Fi money card cafe spend | Ref:7a1bff5e | Amount: INR 39367.9,Food
Jupiter neo bank UPI food | Ref:4a79f3ee | Amount: INR 53319.8,Food
Niyo global card meal abroad | Ref:2641dee4 | Amount: INR 2902.36,Food
Forex card restaurant charge | Ref:698ebb8c | Amount: INR 53009.59,Food
Multi currency wallet food | Ref:6bf191ce | Amount: INR 64191.69,Food
IRCTC e-ticket booking debit | Ref:1e9d95f4 | Amount: INR 57511.1,Travel
IRCTC Tatkal convenience fee | Ref:c768abae | Amount: INR 34543.91,Travel
RedBus intercity bus booking | Ref:92af6863 | Amount: INR 14545.89,Travel
AbhiBus online ticket | Ref:fe4cc2fc | Amount: INR 2295.05,Travel
MakeMyTrip flight booking | Ref:38dab91a | Amount: INR 50969.6,Travel
Cleartrip domestic airfare | Ref:a5cfb2db | Amount: INR 88805.79,Travel
Goibibo hotel plus flight combo | Ref:7a908f6b | Amount: INR 89832.37,Travel
Yatra corporate travel booking | Ref:feeff91c | Amount: INR 48713.06,Travel
EaseMyTrip holiday package | Ref:71d56b19 | Amount: INR 51351.98,Travel
Ixigo trains app booking | Ref:e86c3113 | Amount: INR 13678.4,Travel
Uber India ride hail | Ref:1aa0baab | Amount: INR 98147.35,Travel
Ola postpaid ride settlement | Ref:76a12e8d | Amount: INR 17740.42,Travel
Rapido bike taxi debit | Ref:daf49ed6 | Amount: INR 75642.56,Travel
BluSmart EV cab charge | Ref:f67274d9 | Amount: INR 39881.56,Travel
Meru Cabs airport pickup | Ref:abf61f44 | Amount: INR 16383.96,Travel
Mega Cabs city ride | Ref:a8fedda2 | Amount: INR 17199.53,Travel
Quick Ride carpool debit | Ref:95d040b6 | Amount: INR 51270.21,Travel
Shuttle app office commute | Ref:6eccfc4c | Amount: INR 86806.49,Travel
Metro card recharge DMRC | Ref:bae26d7a | Amount: INR 85903.6,Travel
BEST bus pass monthly | Ref:d1be83e1 | Amount: INR 13523.16,Travel
BMTC bus pass Bengaluru | Ref:f3bfd8d1 | Amount: INR 66841.0,Travel
NMMT ferry ticket Mumbai | Ref:bf3ddfb7 | Amount: INR 91673.64,Travel
Mumbai local season ticket | Ref:d1a1f7bb | Amount: INR 34940.95,Travel
Delhi metro smart card top-up | Ref:c972bb1f | Amount: INR 61892.18,Travel
Chennai metro QR ticket | Ref:968df933 | Amount: INR 83499.08,Travel
Hyderabad metro pass | Ref:bb5e387d | Amount: INR 3398.16,Travel
Kochi metro travel card | Ref:c35b4b7b | Amount: INR 70739.54,Travel
Namma Metro Bengaluru top-up | Ref:09e2b857 | Amount: INR 55149.55,Travel
FASTag toll plaza debit | Ref:55a67dd7 | Amount: INR 92192.17,Travel
NHAI toll recharge wallet | Ref:a7dacdeb | Amount: INR 45763.36,Travel
Paytm FASTag top-up | Ref:a48df905 | Amount: INR 35962.2,Travel
HPCL fuel pump card swipe | Ref:c90aa1a2 | Amount: INR 67258.02,Travel
IndianOil fuel UPI | Ref:e4ae835b | Amount: INR 79727.31,Travel
BPCL Speed fuel debit | Ref:fbaf9aa0 | Amount: INR 911.81,Travel
Shell petrol pump charge | Ref:183a2663 | Amount: INR 29125.26,Travel
CNG station refill bill | Ref:4db526fa | Amount: INR 39993.14,Travel
EV charging station session | Ref:6e3e27d8 | Amount: INR 63693.4,Travel
Ather grid charging debit | Ref:a9bebf0c | Amount: INR 90235.57,Travel
Tata Power EZ charge | Ref:1eabc443 | Amount: INR 58769.93,Travel
Statiq EV charging UPI | Ref:0ead4170 | Amount: INR 96742.92,Travel
Zoomcar self drive rental | Ref:82ddf659 | Amount: INR 44692.73,Travel
Revv subscription car day | Ref:babeea99 | Amount: INR 6265.87,Travel
Drivezy bike rental | Ref:dd46f9f0 | Amount: INR 42998.45,Travel
Bounce scooter rental | Ref:ce7a676a | Amount: INR 18580.02,Travel
Vogo scooter unlock fee | Ref:daaa9ef4 | Amount: INR 94723.53,Travel
Yulu bike unlock and ride | Ref:b52e2bc4 | Amount: INR 46987.75,Travel
Metro bike share Bengaluru | Ref:416ed624 | Amount: INR 10276.41,Travel
Chalo bus live ticket | Ref:eaaf6fef | Amount: INR 63634.85,Travel
Tummoc multimodal ticket | Ref:15a7bdef | Amount: INR 36906.8,Travel
Navi Mumbai ferry ticket | Ref:dfe79a29 | Amount: INR 4091.16,Travel
Pawan Hans helicopter booking | Ref:e3e384d4 | Amount: INR 44070.01,Travel
SpiceJet add-on baggage | Ref:9dd18ea1 | Amount: INR 26907.51,Travel
IndiGo seat selection fee | Ref:c2b6eddb | Amount: INR 92006.15,Travel
Air India web check-in | Ref:afeadd27 | Amount: INR 63259.54,Travel
Vistara club upgrade | Ref:052b6ce0 | Amount: INR 79740.54,Travel
Akasa Air meal pre-order | Ref:3bdef6dd | Amount: INR 97411.95,Travel
AirAsia ancillary charge | Ref:d6f729ae | Amount: INR 52746.5,Travel
Blade India heli shuttle | Ref:942d1abd | Amount: INR 95937.61,Travel
Charter flight deposit | Ref:cfa0fdcf | Amount: INR 58257.17,Travel
Ola outstation trip | Ref:8f283c29 | Amount: INR 63595.22,Travel
Uber intercity reserve | Ref:9da6accc | Amount: INR 73355.48,Travel
Savaari cab booking | Ref:be572f70 | Amount: INR 25402.52,Travel
Wiwigo outstation taxi | Ref:57ec9044 | Amount: INR 8868.93,Travel
Savaari driver tip UPI | Ref:9b8bdb8e | Amount: INR 10006.97,Travel
Railway retiring room booking | Ref:f93e5257 | Amount: INR 18384.11,Travel
IRCTC lounge access | Ref:a9400ddc | Amount: INR 96685.74,Travel
Airport prepaid taxi coupon | Ref:ae86bb01 | Amount: INR 49774.64,Travel
Meru airport flat rate | Ref:0f2df185 | Amount: INR 91451.88,Travel
KSRTC Volvo online ticket | Ref:da25b3cb | Amount: INR 48230.88,Travel
RSRTC sleeper bus | Ref:eb05c5e1 | Amount: INR 11424.76,Travel
GSRTC express booking | Ref:c5ad48c0 | Amount: INR 9078.84,Travel
APSRTC Amaravati bus | Ref:34df8930 | Amount: INR 32185.19,Travel
TNSTC SETC booking | Ref:7ca532f0 | Amount: INR 66265.78,Travel
KSRTC Swift booking | Ref:b1991f9f | Amount: INR 24747.84,Travel
HRTC Volvo Manali | Ref:1ec2ffec | Amount: INR 17145.49,Travel
JKSRTC Srinagar route | Ref:4b7ebbea | Amount: INR 37013.03,Travel
NEKRTC night service | Ref:bc4cb2f3 | Amount: INR 29062.91,Travel
WBTC electric bus ticket | Ref:df6fd5b6 | Amount: INR 46608.26,Travel
DTC cluster bus pass | Ref:a2eccdb9 | Amount: INR 74280.82,Travel
Chandigarh CTU pass | Ref:adc2df4d | Amount: INR 33549.63,Travel
PMPML Pune bus pass | Ref:32eab9a3 | Amount: INR 62470.33,Travel
MSRTC Shivneri booking | Ref:52794dc2 | Amount: INR 83884.36,Travel
VRL Travels luxury bus | Ref:effddc67 | Amount: INR 61671.2,Travel
SRS Travels sleeper | Ref:f5171b60 | Amount: INR 52812.45,Travel
Orange Travels AC bus | Ref:adf6ece1 | Amount: INR 62332.96,Travel
Parveen Travels Tamil Nadu | Ref:200ca5be | Amount: INR 3461.31,Travel
Kallada Travels Kerala | Ref:dca6f1b7 | Amount: INR 86831.82,Travel
Rajasthan Roadways booking | Ref:7a12c830 | Amount: INR 63297.86,Travel
Himachal Roadways ticket | Ref:86040a68 | Amount: INR 29551.64,Travel
Uttarakhand transport booking | Ref:a97573ef | Amount: INR 6000.48,Travel
Sikkim nationalised transport | Ref:f0c74a0f | Amount: INR 1309.66,Travel
Assam ASTC online ticket | Ref:f2fadd09 | Amount: INR 88494.91,Travel
Meghalaya transport booking | Ref:2a2acb6d | Amount: INR 5652.27,Travel
Manipur MSRTC booking | Ref:8c5144f0 | Amount: INR 63535.99,Travel
Tripura ST booking | Ref:355d2974 | Amount: INR 3703.91,Travel
Mizoram ST online | Ref:88f4cde8 | Amount: INR 35221.45,Travel
Nagaland ST booking | Ref:f9eacda6 | Amount: INR 29116.55,Travel
Arunachal HRTC booking | Ref:e20bf2cc | Amount: INR 31967.68,Travel
Ladakh inner line permit fee | Ref:8fd0a5e6 | Amount: INR 26991.28,Travel
Andaman ferry ticket Port Blair | Ref:43d97a9e | Amount: INR 26770.07,Travel
Lakshadweep ship booking | Ref:b7642c5f | Amount: INR 7518.11,Travel
Goa Mopa airport taxi | Ref:45aa23de | Amount: INR 52094.18,Travel
Goa Dabolim prepaid taxi | Ref:7cdd1cc6 | Amount: INR 36248.93,Travel
Shimla toy train ticket | Ref:939f7ff2 | Amount: INR 20653.55,Travel
Darjeeling Himalayan Railway | Ref:89ea8877 | Amount: INR 14344.37,Travel
Nilgiri Mountain Railway ticket | Ref:7194e9ee | Amount: INR 35220.03,Travel
Konkan railway tatkal | Ref:b62a97bd | Amount: INR 28200.78,Travel
Vande Bharat premium charge | Ref:2ab70fa5 | Amount: INR 41023.91,Travel
Rajdhani pantry car bill | Ref:d0e4daf8 | Amount: INR 66954.75,Travel
Shatabdi catering charge | Ref:5a6add3d | Amount: INR 53918.16,Travel
Tejas express meal | Ref:5b73abe3 | Amount: INR 52349.25,Travel
Garib Rath bedding charge | Ref:edcbde3d | Amount: INR 61444.86,Travel
Sleeper class linen optional | Ref:417e9f03 | Amount: INR 47908.41,Travel
AC 3 tier upgrade fee | Ref:7d193559 | Amount: INR 23173.99,Travel
Tatkal agent service charge | Ref:c4bcbdce | Amount: INR 61414.06,Travel
Railway retiring room AC | Ref:f8fa9e07 | Amount: INR 27758.56,Travel
Station cloak room charge | Ref:dcb534a8 | Amount: INR 40700.18,Travel
Platform ticket digital | Ref:b7cfeafa | Amount: INR 91595.06,Travel
Suburban railway quarterly pass | Ref:ea45fc5b | Amount: INR 39932.72,Travel
Mumbai monorail token | Ref:8afb1925 | Amount: INR 92716.91,Travel
Kolkata tram museum ticket | Ref:c678f2ba | Amount: INR 13635.24,Travel
Heritage toy train Darjeeling | Ref:ee1ab20f | Amount: INR 88899.69,Travel
Ropeway Manali ticket | Ref:50aa5dd0 | Amount: INR 55792.45,Travel
Cable car Gulmarg | Ref:d1c67a6e | Amount: INR 96251.47,Travel
Gondola ride booking | Ref:8adf88bb | Amount: INR 22370.77,Travel
Houseboat Alleppey advance | Ref:b65ff550 | Amount: INR 33606.91,Travel
Backwater cruise Kochi | Ref:6d12e686 | Amount: INR 52406.47,Travel
Wildlife safari jeep booking | Ref:30309ad0 | Amount: INR 73530.99,Travel
Desert camel ride Jaisalmer | Ref:22cacdec | Amount: INR 66705.88,Travel
Paragliding billing advance | Ref:ba1bacf9 | Amount: INR 54651.0,Travel
Scuba diving Andaman slot | Ref:fedf89a0 | Amount: INR 4503.22,Travel
Snorkelling Havelock booking | Ref:abddc207 | Amount: INR 40620.88,Travel
Trekking permit fee Uttarakhand | Ref:dc87cef1 | Amount: INR 34099.17,Travel
Forest entry fee Jim Corbett | Ref:4523b7cc | Amount: INR 60553.53,Travel
National park gypsy booking | Ref:d58d85fe | Amount: INR 11507.47,Travel
Wildlife guide fee debit | Ref:e5ebaf3a | Amount: INR 74410.16,Travel
Border area permit Sikkim | Ref:8f5bffd4 | Amount: INR 81805.68,Travel
Inner line permit Ladakh bike | Ref:a9b520ac | Amount: INR 49210.2,Travel
Bike rental Leh Ladakh | Ref:133cbc3f | Amount: INR 60491.97,Travel
Royal Enfield bullet rental | Ref:bdceba5b | Amount: INR 26134.83,Travel
Self drive car Spiti | Ref:f0a66bfd | Amount: INR 95839.76,Travel
Tempo traveller hire Manali | Ref:ead3b3c2 | Amount: INR 88529.85,Travel
Innova crysta outstation | Ref:a0e1fafc | Amount: INR 47839.22,Travel
Innova airport drop prepaid | Ref:29945dc0 | Amount: INR 90560.13,Travel
Corporate cab monthly invoice | Ref:4ed00719 | Amount: INR 69388.96,Travel
Employee transport shuttle fee | Ref:73f643b9 | Amount: INR 75542.5,Travel
